Country;Longitude;Latitude
Afghanistan;67.70995;33.93911
Albania;20.16833;41.15333
Algeria;1.659626;28.03389
Angola;17.87389;-11.20269
Antigua and Barbuda;-61.79643;17.06082
Argentina;-63.61667;-38.4161
Armenia;45.03819;40.0691
Aruba;-69.96834;12.52111
Australia;133.7751;-25.2744
Austria;14.55007;47.51623
Azerbaijan;47.57693;40.1431
Bahamas;-77.39628;25.03428
Bahrain;50.5577;26.0667
Bangladesh;90.35633;23.68499
Barbados;-59.5432;13.19389
Belarus;27.95339;53.70981
Belgium;4.469936;50.50389
Benin;2.315834;9.30769
Bermuda;-64.7505;32.3078
Bhutan;90.4336;27.51416
Bolivia;-63.58865;-16.29015
Bosnia and Herzegovina;17.67908;43.91589
Botswana;24.68487;-22.32847
Brazil;-51.92528;-14.235
British Virgin Islands;-64.63997;18.42069
Brunei Darussalam;114.7277;4.535277
Bulgaria;25.48583;42.73388
Burkina Faso;-1.561593;12.23833
Burundi;29.91889;-3.373056
Cabo Verde;-23.60519;15.12014
Cambodia;104.991;12.56568
Cameroon;12.35472;7.369722
Canada;-106.3468;56.13037
Cayman Islands;-81.2546;19.3133
Central African Republic;20.93944;6.611111
Chad;18.73221;15.45417
Chile;-71.54297;-35.67515
China;104.1954;35.86166
Colombia;-74.29733;4.570868
Comoros;43.3333;-11.6455
Congo;21.75866;-4.038333
Congo, Democratic Republic of;21.75866;-4.038333
Costa Rica;-83.75343;9.748917
Côte d'Ivoire;-5.54708;7.539989
Croatia;15.2;45.1
Cuba;-77.78117;21.52176
Cyprus;33.42986;35.12641
Czech Republic;15.47296;49.81749
Denmark;9.501785;56.26392
Djibouti;42.59027;11.82514
Dominica;-61.37098;15.415
Dominican Republic;-70.16265;18.73569
Ecuador;-78.18341;-1.831239
Egypt;30.8025;26.82055
El Salvador;-88.89653;13.79419
Equatorial Guinea;10.26789;1.650801
Eritrea;39.78233;15.17938
Estonia;25.01361;58.59527
Ethiopia;40.48967;9.145
Fiji;178.065;-17.71337
Finland;25.74815;61.92411
France;2.213749;46.22764
French Guiana;-53.12578;3.933889
French Polynesia;-149.4068;-17.67974
